id,ra,dec,use,z_peak,z_spec,z,ir_agn,xray_agn,radio_agn,agn,agn_class,HR,Av,lmass,lsfr,lssfr,snr,re,e_re,si,e_si,f_U,f_xray,l_xray,f_Hs,e_Hs,w_Hs,SNR_Hs,f_Hl,e_Hl,w_Hl,SNR_Hl,f_J1,e_J1,w_J1,SNR_J1,f_J2,e_J2,w_J2,SNR_J2,f_J3,e_J3,w_J3,SNR_J3,f_Ks,e_Ks,w_Ks,SNR_Ks,f_H,f_J,f_36,e_36,w_36,SNR_36,f_45,e_45,w_45,SNR_45,f_58,e_58,w_58,SNR_58,f_80,e_80,w_80,SNR_80,f_24,e_24,SNR_24,f_Ha,e_Ha,f_Hb,e_Hb,f_NII,e_NII,f_OII,e_OII,f_OIII,e_OIII,AB_Hs,AB_Ks,AB_36,AB_45,AB_58,AB_80,AB_24,x_u,x_J1,x_J2,x_J3,x_Hs,x_Hl,x_Ks,x_J,x_H,x_NIR,36_u,45_u,58_u,80_u,24_u,MIR_U,36_J1,36_J2,36_J3,36_Hs,36_Hl,36_Ks,45_J1,45_J2,45_J3,45_Hs,45_Hl,45_Ks,58_J1,58_J2,58_J3,58_Hs,58_Hl,58_Ks,80_J1,80_J2,80_J3,80_Hs,80_Hl,80_Ks,24_J1,24_J2,24_J3,24_Hs,24_Hl,24_Ks,36_J,36_H,36_NIR,45_J,45_H,45_NIR,58_J,58_H,58_NIR,80_J,80_H,80_NIR,24_J,24_H,24_NIR,80_45,58_36,80_36,58_36_80_45,36_45_in,58_80_in,45_80_in,Ks_45_in,80_24_in,24_58,ir_agn_contribution,agn_luminosity,accretion_power,true_agn,log_agn_luminosity,Lacy,Donley,KI,KIM
678,150.0774536,2.1853943,1,2.1513,-99.0,2.1513,0,-1,-1,0,None,-99.0,2.5,10.64,1.56,-9.09,21.44734,0.49,0.02,0.54,0.09,0.02433990692,-99.0,-99.0,2.6110204560000003,0.7030368588,0.19,3.713916878350732,2.575899216,0.6430621281,0.25,4.005677062044979,0.68952936,0.3864872159999999,0.13,1.7840935778843463,0.4565239418999999,0.3505917570999999,0.14,1.3021525254222812,1.30069775,0.450655901,0.19,2.886232593679052,6.031779,0.3109686,0.51,19.39674616665477,2.5910652060000006,0.8710537851434782,17.99549096,0.1821180864,0.73,98.81221198687052,24.446891664,0.17117420463,1.03,142.81878345421816,38.630676599000005,4.460979779500001,1.11,8.659684308932205,35.65425912,5.4594016682,1.06,6.5307997628530305,91.57,13.59,6.738042678440029,,,,,,,,,,,15.357974314225554,14.448886447702627,13.262090750645175,12.9294408801023,12.432669213288033,12.519721458932137,11.495616964533042,-4067.3943546863816,-143.5761923176121,-216.85609650169374,-76.11299396804522,-37.916210029110545,-38.43318068698849,-16.413068184361528,-145.51509426245036,-38.17469535804952,-66.70095260162047,739.3409933385234,1004.3954458967996,1587.1332920857367,1464.8478006587216,3762.1343541275955,1198.9293829949452,26.09822293861425,39.41850428502139,13.835259544348409,6.892129442589093,6.986100561785334,2.983446668055975,35.45446079917467,53.550075735907434,18.79521331070189,9.362964433243794,9.490624288462069,4.053015149261934,56.02470154280306,84.619169014934,29.699964191527204,14.79524088378111,14.996967412020055,6.404524535630368,51.70810873085955,78.09942885275872,27.411640498340216,13.655296739659091,13.841480636562297,5.911068545449029,132.8007265709469,200.58093693596055,70.40067532983738,35.07057931682477,35.54875106573269,15.18125912769682,26.450662255994683,6.939115002187213,12.124407975412623,35.933249948594664,9.42679436085293,16.471019819569843,56.781278249754756,14.896104147900584,26.027302311095237,52.40639269398616,13.748388688110694,24.021949975848628,134.5941129455816,35.309665191278725,61.695012421519046,0.16388776846806508,0.33176861494285714,0.2969477166852154,2.0243647103383746,0.3326498705428751,-0.08705224564410408,0.4097194211701627,1.519445567600327,1.0241044943990953,0.3748208995019963,0.3,1.1447849981267e+38,1.5478476790244222e+38,0,38.05872392956245,1,0,1,0
729,150.1253967,2.1854322,1,2.0543,-99.0,2.0543,0,-1,-1,0,None,-99.0,0.7,11.08,-21.4,-32.48,146.2355,0.2,0.0,2.33,0.11,0.007356998905,-99.0,-99.0,23.71785048,0.7006494155999999,0.17,33.85123851090243,29.10970569,0.6332632284,0.23,45.96778146040225,4.49190336,0.38076688,0.12,11.796990746674187,6.493851949,0.3558520484999999,0.12,18.2487412293202,14.92730015,0.4447001005,0.17,33.56711665505909,35.65021,0.3696202,0.56,96.45092448951654,26.818167225750003,9.404711372146341,61.58146512,0.152197372,1.14,404.6158242469522,72.79261797599999,0.15868381113,1.06,458.7274370185464,64.070125578,4.739742399,0.97,13.517638762713696,52.17914770999999,5.890260446199999,0.96,8.858546780161898,-7.1209999999999996,9.461,-0.7526688510728252,,,,,,,,,,,12.962311682765176,12.519844768908087,11.926374956901226,11.744781652501903,11.883361061965914,12.106257547272463,,-13456.57397511873,-22.039654922584976,-15.245188953721865,-6.63214372359224,-4.17407134274168,-3.400927548161687,-2.776982239375308,-14.638995866633024,-3.7874994454516835,-7.067825850486671,8370.460008923978,9894.335844814155,8708.73115591418,7092.450112305676,-967.9218512810148,8516.494280489498,13.709436776484878,9.483041129307397,4.12542552914366,2.596418472741801,2.1154959715430914,1.7273801506358586,16.20529475861208,11.20946682303243,4.876475802357333,3.069106875320853,2.500630502801899,2.041856639161452,14.263469278644498,9.86627445177069,4.29214425476666,2.7013462131413184,2.200988435276757,1.7971878869156732,11.616266764474645,8.035161275587004,3.495551585729988,2.199994799444405,1.7925000089549168,1.4636420854182903,-1.5852967949871475,-1.0965756620146807,-0.47704540864343775,-0.3002380003198334,-0.24462631384302394,-0.19974636895547038,9.105967811645312,2.3559572221424463,4.396435061474539,10.763745794667281,2.784868689061376,5.1968237076300365,9.473962661727283,2.4511673242090377,4.5741059576173315,7.715659875263879,1.996247404199661,3.725183121627277,-1.0529726218817552,-0.27243215708142865,-0.5083837159728848,-0.14459035790822394,0.017205557974124878,-0.07195303614849445,-0.11899519596628834,0.18159330439932297,-0.22289648530654915,-0.3614758947705603,0.7750631164061836,,,0.3,7.675383522666772e+37,5.414856707280865e+37,0,37.88510008546732,1,0,0,0
808,150.1039429,2.1864316,1,2.1397,-99.0,2.1397,0,-1,-1,0,None,-99.0,2.6,11.33,2.06,-9.27,65.79733,-999.0,-999.0,-999.0,-999.0,0.07774460508,-99.0,-99.0,8.915598756000001,0.7286017668,0.23,12.236586791653112,11.43405411,0.6820288305,0.29,16.764766529909913,1.30483392,0.3971568479999999,0.16,3.285437294033516,1.840705971,0.3713180393,0.16,4.957222047358796,4.643238645,0.482604877,0.21,9.621201248241842,22.47869,0.4447107,0.5,50.546771193047526,10.320121934192308,2.7893707509622643,69.79813096000001,0.1516687608,1.17,460.2011026650388,99.189812475,0.1890352070099999,1.03,524.7160782581252,146.21951785,5.2239834862,0.87,27.990042127097563,94.597351428,6.0701252436,1.12,15.584085604780256,426.09999999999997,11.93,35.71668063704945,,,,,,,,,,,14.024623712630758,13.020572504815796,11.790390516673696,11.408832327000955,10.98748663122252,11.460302557418007,9.826221164498865,-1273.4002558521968,-75.87172473260044,-53.78371209727553,-21.321324956365665,-11.104133632457964,-8.658346291488732,-4.404171239516182,-50.325587262080546,-9.881239961973348,-21.536999487856693,897.7874527522137,1275.8417432686506,1880.767388290655,1216.7706213268218,5480.766151703243,1317.7918014095853,53.49196544492038,37.91921798465226,15.032208399445729,7.828765388642844,6.1044079631349595,3.105080009555717,76.01719341799452,53.88683148624393,21.362204284246946,11.125423562634808,8.674946919155344,4.412615347024226,112.05986877625007,79.43665102067514,31.490847020635954,16.400414806868408,12.788072930503212,6.504806011827201,72.4976182624069,51.391886003720685,20.373140099069794,10.610319510435355,8.273299261831113,4.208312469632349,326.55496877334394,231.48726994595052,91.76784407987282,47.79263980596301,37.26587227074089,18.95573096119035,35.48113060967279,6.966586675888902,15.184265765039138,50.4220763961618,9.900185240895077,21.578292328027032,74.3291222725204,14.59424386868581,31.8093907176778,48.08754812173246,9.441809386133233,20.579223325832682,216.60336093305577,42.52925603835195,92.6961159775327,-0.020588092166821035,0.3211615541804702,0.13203518370227552,-15.599383934080187,0.3815581896727416,-0.4728159261954872,-0.051470230417052676,1.6117401778148412,1.6340813929191427,0.4645061866894624,0.0,0.0,0.0,0,-inf,1,0,0,0
828,150.105423,2.1852295,1,1.128,-99.0,1.128,0,-1,-1,0,None,-99.0,0.2,10.67,0.13,-10.54,152.6126,0.76,0.01,4.21,0.11,1.1470344367,-99.0,-99.0,40.42683636,0.978426732,0.17,41.318205071281724,45.3787113,0.8829921104999999,0.23,51.39197820726169,21.749379199999996,0.5277075840000001,0.12,41.21483158369767,24.62620004,0.4749011553,0.13,51.855422470900024,29.2221119,0.63745569,0.16,45.84179317624414,61.6054,0.6430592,0.49,95.80051105714684,43.274164450499995,25.57773027609756,90.5234628,0.1604083472,1.2,564.3313729000258,78.35879340899999,0.2130979839299999,1.02,367.71250466048474,30.097319569000003,5.4743664882,0.97,5.4978634758697265,71.920731692,7.419031390399999,0.94,9.694086452452977,92.13000000000001,13.790000000000001,6.680928208846991,,,,,,,,,,,12.383325608646597,11.925953045586668,11.508097103260138,11.664780650039592,12.703680451067498,11.757864757296439,11.48899732209317,-86.30952727524156,-4.551854059356325,-4.020108658225616,-3.387845489702611,-2.4488683486980625,-2.18163974171739,-1.6070019835923472,-3.986602735761517,-2.315254045207726,-2.6362862548538635,78.91956850086784,68.31424663625357,26.239246709618865,62.70145811743439,80.3201691703839,59.043629991043666,4.1621170870017306,3.675900571463075,3.097772779386284,2.2391923521764294,1.9948442828520785,1.469407922032809,3.6028059784345476,3.181927917491244,2.6814897457496896,1.9382865557724285,1.7267743213545157,1.2719468327289487,1.3838243056151234,1.2221666160476785,1.0299501853936848,0.7444886189209587,0.6632475605141305,0.48855002270904824,3.30679469196068,2.9204965270801075,2.4611750149379175,1.779034378340853,1.5849002678046524,1.1674420049541112,4.235982974631296,3.7411374816396563,3.1527495451141574,2.278931726924773,2.030247165701244,1.4954857853369998,3.6452634792836967,2.117018317514254,2.4105632396102528,3.1554078805584935,1.832530438563472,2.086628383950305,1.2119803690188289,0.7038680897175447,0.8014661604818073,2.896155411326235,1.6819673230727528,1.9151882464510332,3.70995666712837,2.1545894463130084,2.453343966259459,-0.03723364290273884,-0.4782333391229442,-0.09990706161451988,12.844118969830003,-0.15668354677945473,0.9458156937710598,-0.09308410725684624,0.26117239554707616,0.26886743520326917,0.4858732515897316,0.01,9.05008984137152e+35,5.0566836518533085e+35,0,35.956652890522136,0,0,0,0
847,150.0830383,2.1866562,1,0.747,-99.0,0.747,0,-1,-1,0,None,-99.0,2.4,10.33,-0.84,-11.17,271.7427,0.63,0.0,1.56,0.02,0.9034392421000002,-99.0,-99.0,61.74147216000001,0.7545179916,0.24,81.82902574539484,73.26178446,0.6765440460000001,0.33,108.28827020672648,30.0840288,0.40848528,0.17,73.64776718514801,35.78533933,0.3949941801,0.16,90.59713062339371,43.63427835,0.5034229675,0.22,86.67518402405825,96.1038,0.5062299,0.51,189.84220410528894,68.41112664947367,37.162691683272726,121.3307328,0.1860195808,0.84,652.2471036554449,83.36824820999999,0.1806635715299999,1.1,461.45577386726444,94.978685672,5.747678013000001,0.8,16.524705360526255,35.283217459999996,6.189446489199999,1.14,5.700544874499826,120.89999999999999,11.51,10.50390964378801,,,,,,,,,,,11.923557548596499,11.44314859934051,11.19007294847418,11.597498310240965,11.455934611346656,12.531079546562342,11.19393424784807,-109.58124839682563,-3.290782649430252,-2.7664960526727524,-2.2688584237809444,-1.6034603085499215,-1.35131843606748,-1.0301361652713004,-2.7753790419613167,-1.4773893723087008,-1.760968193180439,134.29871888005738,92.27875470210326,105.1301307780551,39.054333502257315,133.82194879975978,92.69048446561825,4.033061316574727,3.3905150844352776,2.780628840169646,1.9651415581017786,1.656125819133508,1.2624967254156443,2.771179643665279,2.3296760564768406,1.9106136588597893,1.3502795656371012,1.1379500079679057,0.8674812880448014,3.1571132411626994,2.6541228181781222,2.176698899662219,1.538328814477688,1.2964287775962808,0.9882927175824472,1.1728222205398233,0.9859685033200437,0.808612375274908,0.5714670581317735,0.48160466906541405,0.36713654881492713,4.018743659758762,3.378478512809452,2.770757408435517,1.958165164683692,1.650246453743013,1.2580147715282848,3.4014017470598836,1.8106336886176433,2.158177387031057,2.3371564530006363,1.2441147868025033,1.482917509282647,2.6626449863343464,1.4173787960369846,1.689438833317926,0.9891343663782584,0.5265358635985937,0.6276022595972598,3.3893265270012436,1.8042058092133524,2.1505157025809605,-0.37343249452855026,-0.1063446651489904,-0.536402639235265,0.28477614215990504,-0.40742536176678534,-1.075144935215686,-0.9335812363213769,-0.1543497109004548,1.3371452987142725,0.10480014539943476,0.01,4.682715580526428e+35,3.5416590776672475e+35,0,35.67049778034046,0,0,0,0
850,150.0793152,2.1858644,1,0.9398,-99.0,0.9398,0,-1,-1,0,None,-99.0,1.9,10.57,-0.61,-11.17,258.0031,0.65,0.0,2.2,0.02,2.06130278,-99.0,-99.0,70.33636212,0.9010123752,0.22,78.0637026260458,83.66338001999999,0.8540755119,0.27,97.95782557198031,38.915169600000006,0.49661808,0.15,78.36035611107836,43.56228318,0.4668745263,0.15,93.30618983484257,56.2831558,0.5904415765000001,0.21,95.32383565133306,109.5677,0.6084123,0.5,180.08791078023899,77.67982096285715,47.43349144117647,154.0846104,0.2122534311999999,0.78,725.9463817798583,117.69407793,0.2015192485799999,1.05,584.0339260856134,102.12125576,6.1085111741,0.85,16.717863461229744,60.73996384999999,7.0470296112,1.01,8.619229264123513,280.9,13.85,20.28158844765343,,,,,,,,,,,11.78205024415867,11.300793636965146,10.930601838507641,11.223113473032186,11.377209633555937,11.941313677231005,10.278620651996054,-48.02787875733617,-2.543995080006024,-2.272608154878626,-1.7589632029837245,-1.407522325807771,-1.1833134159333958,-0.9035509552541487,-2.191855479289458,-1.2954178708705832,-1.46360810180473,74.7510806733594,57.096938437156716,49.54209384028483,29.46678403548264,136.27304184783566,52.71422424657089,3.9594999066893437,3.5371105266296556,2.7376682812089226,2.1906821131453764,1.8417210775271762,1.4062959284533672,3.024375305048137,2.701742639238773,2.0911065887673628,1.6733034575942893,1.406757387782622,1.0741676418324013,2.6242017395704726,2.344258571986079,1.8144195063063608,1.4518984588053072,1.220620727199733,0.9320379615525378,1.5608299918600375,1.3943246179044737,1.0791854683102184,0.8635641938144637,0.7260041828991359,0.5543601248360601,7.218264828017091,6.448238693993999,4.99083599715281,3.99366688201417,3.3575024094514228,2.5637117508170744,3.4114262381759737,2.0162015953362764,2.277974587321873,2.605741511018091,1.5400304226884556,1.7399798585129826,2.2609599392876376,1.33625959300252,1.5097524979475654,1.3447800260249096,0.7947841883567999,0.8979747797392567,6.219113173054634,3.6755846457327963,4.152803189868168,-0.2872800816795276,-0.17864311801931898,-0.40428473548934624,0.6218430354618267,-0.2925116345245442,-0.5641040436750675,-0.7182002041988191,0.07768016393296051,1.662693025234951,0.43943559262395365,0.0,0.0,0.0,0,-inf,0,0,0,0
951,150.2041168,2.1869907,1,0.364,-99.0,0.364,0,-1,-1,0,None,-99.0,0.8,9.39,0.4,-8.99,198.7829,-999.0,-999.0,-999.0,-999.0,21.06014406,-99.0,-99.0,100.0912896,1.049124516,0.24,95.40458551251699,106.0091001,0.973963881,0.31,108.84294804768022,77.94482400000001,0.561548432,0.17,138.80338641921452,80.52399212,0.6402101107999999,0.12,125.7774451880775,89.94129515000002,0.6806206485,0.23,132.1459984327819,113.0718,0.6384255,0.54,177.1104067741655,103.42678279090907,83.84614811326924,66.07730128,0.2098652488,0.87,314.85584992192383,66.281681466,0.25898224365,0.62,255.93137402723244,42.741942206,6.2445446425,0.91,6.844685185706076,127.62395039999998,7.700904623199999,0.95,16.572592006335967,143.8,13.32,10.795795795795797,,,,,,,,,,,11.399009287901404,11.266614235508438,11.849869256801584,11.846516206797165,12.322864368147231,11.135169541495934,11.00560278488284,-4.700822545085668,-1.2701292391140686,-1.2294472416676303,-1.100717972038231,-0.9890970572528222,-0.9338820903734849,-0.8755498718513369,-1.2000981509399766,-0.9614895738131535,-1.0123791988681556,3.137552197731738,3.147256793551107,2.0295180357849842,6.05997518518399,6.82806345437696,3.593575553062955,0.8477445696714896,0.8205914726821917,0.7346714450775839,0.6601703459318802,0.6233172550061106,0.5843835623028908,0.8503666833092084,0.8231296005198605,0.7369438182478739,0.6622122837150456,0.6252452044539146,0.5861910880166408,0.548361520528932,0.5307976055422623,0.4752204438986221,0.4270295884568161,0.4031912558986056,0.3780070911226318,1.6373627375180162,1.5849183211111761,1.4189694532100583,1.2750754926830314,1.2038961775886257,1.128698317352337,1.8448947937838693,1.78580316516975,1.5988206502939155,1.4366884528581398,1.356487319148557,1.271758298709316,0.8010024958104217,0.6417438004689954,0.6757099528607693,0.8034800340256476,0.6437287440844801,0.6777999553755896,0.518126523323272,0.4151104221777109,0.43708134554120487,1.5470835039464168,1.2394858351358287,1.3050892188115275,1.7431728697491782,1.3965878860033483,1.4705063514872807,0.2845386661204922,-0.18919804453825864,0.28587988612226006,-0.6649291188359612,0.0033530500044189893,1.1876948266512972,0.7113466653012317,-0.5799019712887272,0.12956675661309447,0.5269046333057569,0.01,2.0745913981097923e+35,5.036132760520701e+35,0,35.316932572845566,0,0,0,0
1068,150.119278,2.1879079,1,0.8687,-99.0,0.8687,0,-1,-1,0,None,-99.0,1.6,10.22,-0.08,-10.3,197.8416,0.72,0.01,1.51,0.03,3.346867538,-99.0,-99.0,55.02556044,0.8264510508,0.29,66.58054386492165,65.74244073,0.7508257773,0.39,87.56018069386548,32.99319199999999,0.456599152,0.2,72.25854856602973,36.21468188,0.4147980277999999,0.21,87.30678415245832,47.03261715,0.5546038655000001,0.26,84.80398366426459,83.76734,0.5574652,0.64,150.2646981372111,61.17200648867647,39.45104784149253,102.4269088,0.1877700552,1.13,545.4911790429085,75.572899389,0.1897879627799999,1.08,398.1964834967077,59.598431301,5.9245670899,0.97,10.05954197102458,51.554404068,7.113050494999999,1.07,7.247861392835509,221.8,10.89,20.36730945821855,,,,,,,,,,,12.048588813564889,11.59231318798656,11.373964834764053,11.70408478888825,11.961912928094264,12.119335572278377,10.535096145467145,-29.579897882412098,-3.0006190368000776,-2.733697905397699,-2.104922200783802,-1.7991638650904762,-1.505876552508701,-1.1818448574348905,-2.613079714327193,-1.6525202087995887,-1.815814926853891,30.603813158738763,22.580188349539632,17.807227392278108,15.403777855758088,66.27092273049499,21.59875168907865,3.1044861861198525,2.828325515585062,2.1777845887957357,1.8614423548068455,1.5580028313925973,1.2227547012952782,2.290560409826367,2.0868027956014177,1.6068189262778458,1.3734144420283527,1.1495298706565074,0.9021761869124649,1.8063857325777999,1.6456980486114379,1.2671723351248805,1.0831044849781453,0.9065442450755204,0.7114757529724591,1.5625770331042843,1.423577438532507,1.0961415118273936,0.9369173826810004,0.7841875582278827,0.6154475487463251,6.722599013760174,6.124587832497067,4.715876203372195,4.0308539926976525,3.373771912590201,2.647809993727866,2.70353209683355,1.7097225930997215,1.8786697970761832,1.9947273772352103,1.26147215634243,1.3861252401633684,1.573085372104706,0.9948243650268329,1.0931284967013328,1.360765327821395,0.8605524704544416,0.9455884490073873,5.854354349876478,3.7023129526439265,4.068159098749423,-0.16610031335605027,-0.23517923733208498,-0.2981482950057299,1.4158867769740935,-0.33011995412419814,-0.15742264418411267,-0.41525078339012644,-0.11177160090169025,1.5842394268112319,0.5707267130508477,0.01,7.020384535317952e+35,4.5019737258335946e+35,0,35.84636090087523,0,0,0,0
1082,150.0719757,2.1901972,1,2.6614,-99.0,2.6614,0,-1,-1,0,None,-99.0,3.2,10.97,1.98,-8.99,17.96704,-999.0,-999.0,-999.0,-999.0,0.001800182912,-99.0,-99.0,2.1277332,0.5286335664,0.47,4.024968021780919,2.763972525,0.5113768653,0.56,5.4049620007321035,0.2245414879999999,0.290431248,0.33,0.7731312988745616,0.1552085392,0.2560098632,0.37,0.6062599981890072,0.757246539,0.3674557725,0.4,2.0607828089025326,6.292851,0.3566767,0.65,17.643011163891558,2.4736497262135924,0.39493133285818177,27.1584484,0.2425251208,0.63,111.98200133006594,41.168295324,0.22548820437,0.98,182.57405277150374,52.087473202000005,5.7224500135000005,1.05,9.102302873615132,56.049580652,7.069310086599999,0.95,7.928578597541359,133.39999999999998,13.71,9.73012399708242,,,,,,,,,,,15.580207074673698,14.402881378021991,12.815237613829243,12.363592789192442,12.108166774926847,12.028569080830577,11.087110426048675,-54994.41159010401,-440.89847663252345,-637.8515029539045,-130.7368141038146,-46.5283899315948,-35.81801161355611,-15.732137945106281,-403.1622645634142,-41.173200772575456,-153.35586776036533,15086.49383291113,22868.951287990007,28934.54484807375,31135.491998270896,74103.58086989772,24506.370491811445,120.9506921945757,174.98037504884914,35.86473757392769,12.764029061538354,9.82587495148853,4.315762187917686,183.3438251910044,265.2450408733697,54.365775482269974,19.348429269233566,14.894610909346866,6.5420737474953725,231.9726018828201,335.59669764613056,68.78535657724545,24.48026528983991,18.84514868757605,8.277245592180716,249.61792651877334,361.1243359476191,74.01761218482109,26.342391354329575,20.27863162351804,8.906866005885092,594.0995634624103,859.4887928692004,176.16455557019054,62.69583047348228,48.263866154024086,21.198658604819975,110.59860160578417,11.29495200651344,42.0697719334051,167.65154718221467,17.121520089290215,63.771713673000086,212.11821870206538,21.66270698870798,80.68605709431803,228.25329155040455,23.310511488923808,86.8235563484045,543.2509706339337,55.47984831375318,206.64315918416898,0.13400948334474563,0.2828283355609576,0.31466741319946584,2.1105098572268095,0.45164482463680145,0.07959769409626993,0.3350237083618648,2.0392885888295496,0.9414586547819024,0.4084225395512699,0.4,2.1925890310142902e+38,1.658311873046198e+38,0,38.340957237109095,1,0,1,0
1132,150.0646515,2.1909399,1,6.5912,-99.0,6.5912,0,1,0,1,X-Ray,0.08,2.7,12.32,4.05,-8.27,67.07233,0.13,0.0,2.11,0.15,-0.001683190387,1.2e-14,1.68e+45,6.3799036440000005,0.3588285576,0.56,17.77981018754902,9.88299003,0.3576157085999999,0.63,27.63578274760384,2.14803936,0.195840256,0.4,10.96832389761582,3.119808705,0.1720828122,0.45,18.12969386724144,4.556657395,0.245863044,0.49,18.533315625100617,12.72674,0.2843158,0.63,44.76268993844169,8.234478789529414,3.3551431229850746,56.57945544,0.2122318424,0.55,266.59267902581234,127.34932392,0.19372751307,0.89,657.3631277349056,246.21814885,4.3953980215,1.11,56.01725887977128,501.0503646199999,5.326531956399999,1.14,94.06690295323804,586.6,11.51,50.96437880104258,,,,,,,,,,,14.387964701000817,13.638207070466537,12.018353092027066,11.137508390759407,10.421699845460275,9.650296543729127,9.479144853388664,-7.129318283113507e-12,5.5864898118068005e-15,3.8463896779209735e-15,2.6335093819358783e-15,1.880906149936204e-15,1.2142074375845544e-15,9.428966098152393e-16,4.022129623887884e-15,1.5475567937603793e-15,2.170861009154501e-15,-33614.412176416496,-75659.48861375003,-146280.629185889,-297678.9604371712,-348504.8420728653,-138308.3726033067,26.340045947761404,18.135552782233805,12.416877227171913,8.868387141428117,5.724932967477657,4.4457147266307,59.286308384963675,40.81959375134188,27.947969943875933,19.96101054594548,12.885708022919053,10.006437148869232,114.62459833603795,78.9209121877875,54.03481708327997,38.592769199822726,24.91332563349758,19.34652148547075,233.25939642930936,160.60291254940898,109.96006967076354,78.53572602012794,50.698256610504735,39.36989084557396,273.08624363382245,188.0243487557036,128.7347169536322,91.94496229604812,59.35450690725831,46.09192927646829,18.96415865238904,7.296660054452888,10.235511144490877,42.684624026727164,16.423359284432266,23.03814015334289,82.52677586903513,31.753047416660152,44.54211492372201,167.94079288316064,64.61699131531634,90.64255834801698,196.6151031143861,75.64973460165322,106.11892233083587,0.5948847388121123,0.638661298626717,0.9472226193191754,1.0735883053615045,0.8808447012676588,0.7714033017311479,1.4872118470302809,2.5006986797071296,0.17115169034046218,0.37702199682864324,0.3,1.5871694183801948e+40,1.2322589933825046e+40,0,40.200623286893844,1,1,1,0
