id,FHa,e_FHa,FHalim,FNII,e_FNII,FNIIlim,FHb,e_FHb,FHblim,FOIII,e_FOIII,FOIIIlim,FOII,e_FOII,FOIIlim,CCat,ZFOURGE
593,0.563,0.132,0.158,0,0.111,0.128,,,,,,,,,,0,1
912,1.462,0.167,0.539,0.247,0.049,0.085,,,,,,,,,,3,1
1108,3.977,0.087,0.142,1.045,0.058,0.114,,,,,,,,,,3,1
1313,,,,,,,0.465,0.052,0.261,2.694,0.102,0.145,,,,3,1
1587,,,,,,,0,0.062,0.181,0.209,0.112,0.174,,,,3,1
1946,3.945,0.215,0.512,1.676,0.17,0.531,,,,,,,,,,3,1
2114,2.528,0.068,0.084,0.217,0.046,0.08,,,,,,,,,,3,1
2168,1.327,0.151,0.105,0.309,0.058,0.067,0.307,0.18,0.337,1.785,0.105,0.363,,,,3,1
2323,0.776,0.067,0.073,,,,,,,,,,,,,0,1
2360,,,,,,,0.024,0.048,0.181,0.649,0.04,0.13,,,,3,1
2510,3.281,0.228,0.367,0,0.053,0.239,0.832,0.248,1.345,2.379,0.107,0.232,,,,3,1
2517,1.038,0.056,0.078,0.018,0.043,0.073,,,,,,,,,,3,1
2685,2.64,0.249,0.664,0.108,0.122,0.314,,,,,,,,,,3,1
2989,1.319,0.136,0.126,0.318,0.077,0.078,,,,,,,,,,3,1
3175,4.547,0.098,0.143,0.395,0.07,0.146,,,,,,,,,,3,1
3313,2.086,0.161,0.334,0,0.098,0.285,,,,,,,,,,3,1
3330,2.635,0.093,0.095,0.281,0.066,0.086,,,,,,,,,,3,1
3375,1.173,0.143,0.63,0,0.049,0.173,,,,,,,,,,3,1
3402,,,,,,,0.397,0.163,0.167,1.378,0.063,0.342,,,,3,1
3588,3.338,0.197,0.327,1.558,0.122,0.298,,,,0.419,0.123,0.268,,,,3,1
3669,4.86,0.182,0.567,0.649,0.077,0.178,,,,,,,,,,3,1
3709,0.098,0.063,0.217,0,0.072,0.275,,,,,,,,,,3,1
3731,3.706,0.138,0.498,0,0.211,2.13,,,,,,,,,,3,1
3750,,,,,,,0.003,5688.087,0,,,,,,,3,1
3890,0.775,0.151,0.216,0,0.114,0.284,,,,,,,,,,3,1
4084,1.095,0.111,0.18,0.316,0.082,0.161,,,,,,,,,,3,1
4229,0.195,0.083,0.327,,,,,,,,,,,,,3,1
4245,1.373,0.14,0.244,0.662,0.099,0.244,0.152,0.08,0.619,0.204,0.077,0.11,,,,3,1
4249,0,0.25,1.113,0,0.156,1.298,,,,,,,,,,2,1
4279,,,,,,,0.199,0.134,0.516,0.691,0.117,0.832,,,,3,1
4314,,,,1.265,0.142,0.835,,,,,,,,,,3,1
4401,2.445,0.116,0.191,0.158,0.111,0.278,,,,,,,,,,3,1
4457,0.286,0.142,0.329,,,,,,,,,,,,,3,1
4484,2.798,0.097,0.145,0.479,0.077,0.165,0.663,0.07,0.13,1.36,0.098,0.118,,,,0,1
4532,0.31,0.073,0.285,,,,,,,,,,,,,3,1
4533,1.61,0.228,0.15,0.304,0.062,0.065,,,,,,,,,,3,1
4540,3.097,0.102,0.213,2.623,0.095,0.352,0,0.12,0.221,1.482,0.092,0.226,,,,3,1
4541,1.33,0.129,0.176,0.298,0.112,0.211,,,,,,,,,,3,1
4569,,,,,,,,,,0.776,0.18,0.29,,,,0,1
4577,11.124,0.15,0.314,3.132,0.095,0.208,1.65,0.107,1.034,3.134,0.057,0.113,,,,3,1
4611,1.917,0.92,3.464,0.191,0.2,2.342,,,,,,,,,,3,1
4634,0.614,0.076,0.281,0.036,0.137,0.819,,,,,,,,,,3,1
4671,0.488,0.056,0.208,0.243,0.07,0.281,,,,,,,,,,3,1
4741,0.469,0.056,0.193,0.056,0.044,0.193,,,,,,,,,,3,1
4860,1.863,0.158,0.776,0,0.058,0.151,0.656,0.287,0.628,2.201,0.136,0.795,,,,3,1
4907,0.699,0.115,0.097,,,,,,,,,,,,,3,1
4933,1.3,0.147,0.163,0.041,0.066,0.11,0.5,0.06,0.086,1.868,0.066,0.08,,,,3,1
4934,,,,,,,0.955,0.205,0.827,0,0.062,0.129,,,,3,1
5005,3.831,0.153,0.374,0.536,0.12,1.017,1.112,0.065,0.999,2.163,0.067,0.302,,,,3,1
5029,2.772,0.11,0.162,0.584,0.07,0.135,,,,,,,,,,3,1
5152,5.478,0.078,0.134,0.506,0.086,0.207,,,,,,,,,,3,1
5212,,,,,,,0.157,0.101,1.51,0.419,0.037,0.161,,,,3,1
5218,1.575,0.235,0.435,,,,,,,,,,,,,3,1
5352,0.391,0.125,0.524,,,,,,,,,,,,,3,1
5360,,,,,,,0,0.109,0.369,1.429,0.066,0.104,,,,3,1
5371,2.104,0.166,0.326,0.735,0.149,0.413,,,,,,,,,,3,1
5373,1.214,0.184,0.285,0.543,0.182,1.092,,,,,,,,,,3,1
5390,,,,,,,0.204,0.096,0.146,0.862,0.068,0.147,,,,3,1
5420,4.367,0.065,0.209,0.261,0.067,0.126,0.299,0.099,0.153,2.344,0.079,0.064,,,,3,1
5492,2.283,0.15,0.386,0,0.121,0.328,,,,,,,,,,3,1
5493,1.816,0.058,0.057,0.428,0.067,0.095,,,,,,,,,,0,1
5500,1.322,0.098,0.114,0.058,0.073,0.112,,,,,,,,,,3,1
5535,4.48,0.08,0.092,0.1,0.087,0.127,,,,,,,,,,3,1
5561,5.756,0.354,0.465,0.73,0.17,0.541,,,,,,,,,,3,1
5576,3.876,0.114,0.313,0.942,0.066,0.166,0,0.138,0.966,0.877,0.117,0.187,,,,3,1
5577,,,,,,,0.224,0.107,0.187,1.135,0.096,0.143,,,,3,1
5588,2.158,0.224,0.28,0.243,0.111,0.336,1.634,0.266,0.86,5.214,0.144,0.602,,,,3,1
5593,7.819,0.084,0.16,1.872,0.067,0.149,,,,,,,,,,3,1
5595,1.568,0.097,0.144,0.099,0.088,0.302,,,,,,,,,,3,1
